timestamp,sound,co2,voltage,case_no
2025-10-21 16:58:34,,,23.76,17
2025-10-21 16:58:35,,,23.77,17
2025-10-21 16:58:35,,,23.8,17
2025-10-21 16:58:36,,,23.76,17
2025-10-21 16:58:37,194,,,17
2025-10-21 16:58:37,,,23.8,17
2025-10-21 16:58:37,,,23.78,17
2025-10-21 16:58:38,,24.87,,17
2025-10-21 16:58:38,,,23.73,17
2025-10-21 16:58:39,,,23.81,17
2025-10-21 16:58:39,143,,,17
2025-10-21 16:58:40,,,23.74,17
2025-10-21 16:58:40,,,23.76,17
2025-10-21 16:58:41,,,23.81,17
2025-10-21 16:58:42,,,23.78,17
2025-10-21 16:58:42,654,,,17
2025-10-21 16:58:42,,,23.81,17
2025-10-21 16:58:43,,,23.71,17
2025-10-21 16:58:44,,,23.77,17
2025-10-21 16:58:44,,,23.76,17
2025-10-21 16:58:45,339,,,17
2025-10-21 16:58:45,,,23.78,17
2025-10-21 16:58:47,,24.88,,17
2025-10-21 16:58:47,,,23.76,17
2025-10-21 16:58:48,151,,,17
2025-10-21 16:58:48,,,23.77,17
2025-10-21 16:58:49,,,23.76,17
2025-10-21 16:58:50,,,23.78,17
2025-10-21 16:58:51,68,,,17
2025-10-21 16:58:51,,,23.77,17
2025-10-21 16:58:52,,,23.8,17
2025-10-21 16:58:54,,,23.78,17
2025-10-21 16:58:54,47,,,17
2025-10-21 16:58:54,,,23.77,17
2025-10-21 16:58:55,,,23.74,17
2025-10-21 16:58:56,,,23.77,17
2025-10-21 16:58:57,323,,,17
2025-10-21 16:58:57,,,23.78,17
2025-10-21 16:58:58,,24.89,,17
2025-10-21 16:58:58,,,23.77,17
2025-10-21 16:58:59,,,23.8,17
2025-10-21 16:58:59,330,,,17
2025-10-21 16:59:00,,,23.77,17
2025-10-21 16:59:01,,,23.76,17
2025-10-21 16:59:01,,,23.74,17
2025-10-21 16:59:02,164,,,17
2025-10-21 16:59:02,,,23.76,17
2025-10-21 16:59:03,,,23.78,17
